Date,BTC-USD,ETC-USD,LTC-USD,XMR-USD,NEO-USD,XRP-USD,ZEC-USD
2019-01-20,3725.446044921875,4.3875041007995605,32.49004364013672,46.08714294433594,8.05705738067627,0.33122000098228455,54.24971008300781
2019-01-21,3600.372802734375,4.288724899291992,31.188655853271484,44.11495590209961,7.610541820526123,0.32117900252342224,53.17775344848633
2019-01-22,3575.081298828125,4.278794765472412,31.21330451965332,44.58333206176758,7.573841094970703,0.32107800245285034,52.42267990112305
2019-01-23,3605.55712890625,4.322202205657959,31.669023513793945,45.94233322143555,7.70162296295166,0.319566011428833,52.63859939575195
2019-01-24,3584.500244140625,4.314175128936768,32.042972564697266,44.90532684326172,7.588129997253418,0.3164159953594208,52.47964096069336
2019-01-25,3607.390380859375,4.321243762969971,32.8204345703125,45.88211441040039,7.761655807495117,0.3178589940071106,53.81949996948242
2019-01-26,3599.71533203125,4.353376865386963,32.967960357666016,46.862701416015625,7.590272903442383,0.3172599971294403,52.89920425415039
2019-01-27,3604.687255859375,4.313498020172119,33.08196258544922,45.7818603515625,7.535069942474365,0.3148539960384369,52.52146530151367
2019-01-28,3584.283203125,4.249941825866699,32.51712417602539,46.693199157714844,7.428150177001953,0.30935999751091003,51.430641174316406
2019-01-29,3468.8701171875,3.9548730850219727,31.235544204711914,43.58219909667969,7.021876811981201,0.29506000876426697,49.3889045715332
2019-01-30,3443.89697265625,3.9111969470977783,31.066558837890625,43.66912841796875,7.030366897583008,0.28942498564720154,48.823890686035156
2019-01-31,3485.4091796875,4.021810054779053,31.89085578918457,44.24991989135742,7.111666202545166,0.32070401310920715,49.823429107666016
2019-02-01,3460.547119140625,3.9628469944000244,31.71952247619629,43.67149353027344,6.928269863128662,0.3108389973640442,49.06803512573242
2019-02-02,3484.6259765625,3.9428069591522217,32.8179817199707,43.6676025390625,7.0226030349731445,0.30832600593566895,48.74753952026367
2019-02-03,3516.1396484375,4.006282806396484,34.431209564208984,43.30197525024414,7.230136871337891,0.31042900681495667,49.1566162109375
